Task,VNOJOriginal,JRatingM,DeltaToVNOJ
fc085_qsum,0.31,0.04,-0.27
fc085_uetacm,1.08,0.67,-0.41
fc086_abcd,0.8,0.6,-0.2
fc086_f7,0.4,0.15,-0.25
fc086_judger,1.26,0.74,-0.52
fc086_ranking,0.31,0.07,-0.24
fc086_rrace,1.39,1,-0.39
fc088_boxes,0.85,0.63,-0.22
fc088_fcity,1.43,1.28,-0.15
fc088_present,1.45,1.28,-0.17
fc088_seq49,0.4,0.26,-0.14
fc088_table,0.99,0.6,-0.39
fc090_combcal,1.5,1.5,0
fc090_coprime,1.19,1.5,0.31
fc090_divcan,1.03,1.1,0.07
fc090_nemgame,0.82,0.77,-0.05
fc090_politics,1.45,1.38,-0.07
fc092_bquery,0.72,0.46,-0.26
fc092_cute,1.06,0.79,-0.27
fc092_hacker,1.21,0.72,-0.49
fc092_hyvong,1.04,0.59,-0.45
fc092_vanchuyen,0.89,0.65,-0.24
fc093_adistinct,1.34,1.5,0.16
fc093_claus,1.07,0.68,-0.39
fc093_invoke,0.94,0.44,-0.5
fc093_jam,1.34,1.38,0.04
fc093_santa,0.32,0.1,-0.22
fc100_beautarr,0.38,0.18,-0.2
fc100_champion,1.33,1.18,-0.15
fc100_fc100,0.31,0.09,-0.22
fc100_goodarr,1.35,1.18,-0.17
fc100_gridcolor,1.39,1.24,-0.15
fc100_haiqua,1.05,0.7,-0.35
fc100_move,0.31,0.09,-0.22
fc100_ninjaset,1.44,1.34,-0.1
fc100_stdecomp,1.46,1.5,0.04
fc100_treetrip,1.37,1.36,-0.01
fc101_bank,0.57,0.44,-0.13
fc101_choosefibo,1.18,0.81,-0.37
fc101_fcgift,1.41,1.5,0.09
fc101_once,0.31,0.05,-0.26
fc101_sumfrac,1.38,1.04,-0.34
fc111_calplus,1.36,1.37,0.01
fc111_city,1.28,1.5,0.22
fc111_curling,1.08,0.88,-0.2
fc111_palincount,0.31,0.43,0.12
fc111_spacetravel,1.36,1.5,0.14
fc122_english,0.8,0.37,-0.43
fc122_kingdom,0.8,1.27,0.47
fc122_labels,0.8,0.5,-0.3
fc122_scount,0.8,0.88,0.08
fc122_specpair,0.8,0.27,-0.53
fc123_balls,0.8,0.17,-0.63
fc123_beasubarr,0.8,1.25,0.45
fc123_group,0.8,1.25,0.45
fc123_jump,0.8,0.33,-0.47
fc123_zshape,0.8,1.15,0.35
fc124_binarystring,0.3,0.13,-0.17
fc124_coprime,1.22,0.85,-0.37
fc124_gmine,0.73,0.5,-0.23
fc124_numtree,1.44,1.5,0.06
fc124_stevestring,1.18,0.77,-0.41
fc125_beat,0.84,0.74,-0.1
fc125_daohang,1.46,1.35,-0.11
fc125_fear,1.02,0.74,-0.28
fc125_gcdarr,0.65,0.61,-0.04
fc125_racingboy,1.44,1.5,0.06
fc126_atravel,1.19,0.87,-0.32
fc126_candy,1.45,1.28,-0.17
fc126_kperm,0.61,0.28,-0.33
fc126_letters,0.32,0.15,-0.17
fc127_digits,1.35,1.07,-0.28
fc127_discount,1.26,1.17,-0.09
fc127_npyramid,0.41,0.3,-0.11
fc127_robot,0.68,0.58,-0.1
fc127_tanchan,1.12,0.99,-0.13
fc128_lock,1.23,1.05,-0.18
fc128_sequenceweight,1.02,0.54,-0.48
fc128_signals,1.47,1.42,-0.05
fc128_strict,0.72,0.34,-0.38
fc128_vsum,0.31,0.12,-0.19
fcb002_candy,0.16,0.08,-0.08
fcb002_demso,0.13,0.07,-0.06
fcb002_interactive,0.52,0.54,0.02
fcb002_makerect,0.17,0.1,-0.07
fcb002_square,0.64,0.65,0.01
fcb015_binhluan,0.68,0.75,0.07
fcb015_char,0.05,0.07,0.02
fcb015_cprefix,0.43,0.38,-0.05
fcb015_mdist,0.08,0.08,0
fcb015_tabwalk,0.16,0.12,-0.04
fcb027_chess,0.11,0.66,0.55
fcb027_chiakeo,0.11,0.44,0.33
fcb027_dgame,0.11,0.66,0.55
fcb027_divcandy,0.11,0.05,-0.06
fcb027_tower,0.11,0.09,-0.02
fcb028_agrtree,0.53,0.48,-0.05
fcb028_bits,0.44,0.37,-0.07
fcb028_lagrange,0.19,0.15,-0.04
fcb028_nearest,0.42,0.29,-0.13
fcb028_vacuum,0.47,0.38,-0.09
fcb029_difnple,0.05,0.06,0.01
fcb029_dmath,0.64,0.67,0.03
fcb029_prefix,0.05,0.06,0.01
fcb029_replacesum,0.34,0.27,-0.07
fcb029_trinnum,0.61,0.52,-0.09
fcb030_divisorpart,0.5,0.36,-0.14
fcb030_starf,0.14,0.07,-0.07
fcb030_strin,0.3,0.13,-0.17
fcb030_tribeau,0.06,0.05,-0.01
fcb030_unique,0.1,0.07,-0.03
fcb031_aid,0.67,0.6,-0.07
fcb031_marec,0.11,0.08,-0.03
fcb031_present,0.15,0.09,-0.06
fcb031_sqfree,0.28,0.19,-0.09
fcb031_typing,0.21,0.11,-0.1
fcb032_calc,0.05,0.04,-0.01
fcb032_count,0.5,0.35,-0.15
fcb032_fnhouses,0.35,0.17,-0.18
fcb032_multitable,0.06,0.05,-0.01
fcb032_socola,0.3,0.13,-0.17
fcc2018_fccup18,0.8,0.04,-0.76
fcc2018_fliprow,0.8,1.25,0.45
fcc2018_purple,0.8,1.76,0.96
fcc2018_segment,0.8,1.67,0.87
fcc2018_valuestr,0.8,0.28,-0.52
fct002_2_lights,0.8,0.2,-0.6
fct002_2_mindist,0.8,0.75,-0.05
fct002_2_tamtam,0.8,0.24,-0.56
fct002_2_tree,0.8,1.21,0.41
fct003_digitsum,0.67,0.49,-0.18
fct003_fish,1.33,1.15,-0.18
